대륙,국적,성별,총합계,사증면제,관광통과,일시취재,단기방문,단기취업,문화예술,유학,기술연수,일반연수,취재,종교,주재,기업투자,무역경영,구직,교수,회화,연구,기술지도,전문직업,예술흥행,특정활동,계절근로,비전문취업,선원취업,방문동거,거주,동반,재외동포,영주,결혼이민,기타,관광취업,방문취업,관광상륙,조건부입국허가,기타
유럽주,프랑스,남성,"2,589",125,,,32,20,2,564,,124,2,6,23,152,143,8,33,15,24,3,4,29,194,,,,8,70,190,137,110,451,,9,,,,111
유럽주,프랑스,여성,"2,071",126,1,,13,,,776,,231,,4,3,16,11,18,8,24,2,,1,32,88,,,,4,33,284,103,24,161,1,20,,,,87
유럽주,독일,총계,"3,807",268,2,,102,198,1,738,,115,5,11,23,174,73,17,68,16,26,3,10,27,155,,,,27,53,242,762,155,304,1,16,,,,215
유럽주,독일,남성,"2,049",139,1,,77,192,1,273,,30,2,9,20,162,72,7,57,7,22,3,10,14,100,,,,18,31,82,297,114,224,,4,,,,81
유럽주,독일,여성,"1,758",129,1,,25,6,,465,,85,3,2,3,12,1,10,11,9,4,,,13,55,,,,9,22,160,465,41,80,1,12,,,,134
유럽주,우크라이나,총계,"3,607",1,33,,143,57,,87,,59,,2,,1,17,10,1,2,17,,,167,37,,2,,713,32,54,720,59,157,46,,"1,113",,,77
유럽주,우크라이나,남성,"1,849",1,33,,121,16,,21,,13,,2,,1,16,2,,1,16,,,70,30,,2,,358,13,19,384,24,22,21,,630,,,33
유럽주,우크라이나,여성,"1,758",,,,22,41,,66,,46,,,,,1,8,1,1,1,,,97,7,,,,355,19,35,336,35,135,25,,483,,,44
유럽주,이탈리아,총계,"1,193",64,,,28,83,1,194,,84,,18,24,42,77,4,11,1,10,,13,19,47,,,,3,28,99,57,30,174,,5,,,,77
유럽주,이탈리아,남성,680,38,,,22,76,1,50,,19,,12,24,38,72,1,10,1,9,,13,14,31,,,,3,16,28,20,18,126,,1,,,,37
유럽주,이탈리아,여성,513,26,,,6,7,,144,,65,,6,,4,5,3,1,,1,,,5,16,,,,,12,71,37,12,48,,4,,,,40
유럽주,스페인,총계,"1,085",54,,,11,17,,304,,56,1,10,1,13,8,7,15,21,5,1,3,24,47,,,,6,17,51,138,12,172,,10,,,,81
유럽주,스페인,남성,593,30,,,7,13,,140,,16,1,8,1,13,7,2,8,7,4,1,3,16,34,,,,4,9,17,77,7,117,,3,,,,48
유럽주,스페인,여성,492,24,,,4,4,,164,,40,,2,,,1,5,7,14,1,,,8,13,,,,2,8,34,61,5,55,,7,,,,33
유럽주,네덜란드,총계,697,43,,,21,42,,82,,19,,2,2,25,6,7,9,,4,2,2,16,34,,,,7,16,45,104,16,93,1,53,,3,,43
유럽주,네덜란드,남성,437,29,,,18,38,,37,,10,,,1,24,6,2,8,,4,2,2,12,25,,,,7,12,20,48,13,74,1,19,,1,,24
유럽주,네덜란드,여성,260,14,,,3,4,,45,,9,,2,1,1,,5,1,,,,,4,9,,,,,4,25,56,3,19,,34,,2,,19
유럽주,아일랜드,총계,680,47,,,1,7,,19,,9,,11,1,14,3,3,28,250,2,1,1,1,35,,,,2,12,22,17,36,138,,2,,,,18
유럽주,아일랜드,남성,456,29,,,1,5,,5,,4,,11,1,13,3,2,23,137,2,1,1,1,27,,,,,11,8,11,29,121,,1,,,,9
유럽주,아일랜드,여성,224,18,,,,2,,14,,5,,,,1,,1,5,113,,,,,8,,,,2,1,14,6,7,17,,1,,,,9
유럽주,스웨덴,총계,577,38,,,34,2,,82,,63,,1,4,26,2,1,5,,1,2,1,13,20,,,,4,5,50,95,12,77,,,,,,39
유럽주,스웨덴,남성,290,15,,,22,2,,21,,21,,1,3,22,2,,5,,1,2,1,7,19,,,,4,4,22,43,8,47,,,,,,18
유럽주,스웨덴,여성,287,23,,,12,,,61,,42,,,1,4,,1,,,,,,6,1,,,,,1,28,52,4,30,,,,,,21
유럽주,스위스,총계,515,61,,,20,12,,110,,35,,,3,17,,2,2,,,,4,3,11,,,,7,11,24,91,15,57,,,,,,30
유럽주,스위스,남성,276,27,,,14,11,,61,,12,,,3,14,,1,2,,,,4,2,10,,,,6,6,4,27,10,45,,,,,,17
유럽주,스위스,여성,239,34,,,6,1,,49,,23,,,,3,,1,,,,,,1,1,,,,1,5,20,64,5,12,,,,,,13
유럽주,폴란드,총계,509,31,,1,16,36,,94,,32,,16,1,19,16,7,5,,7,,,15,14,,,,2,12,32,1,13,98,1,2,,,,38
유럽주,폴란드,남성,211,23,,1,15,19,,13,,10,,10,,16,14,3,4,,3,,,5,7,,,,1,5,10,,5,28,,1,,,,18
유럽주,폴란드,여성,298,8,,,1,17,,81,,22,,6,1,3,2,4,1,,4,,,10,7,,,,1,7,22,1,8,70,1,1,,,,20
유럽주,벨기에,총계,481,13,1,,11,8,,90,,21,,2,3,14,11,3,12,,4,2,7,8,22,,,,4,4,43,51,15,48,,48,,,,36
유럽주,벨기에,남성,264,3,1,,9,8,,43,,6,,,3,14,11,2,9,,3,2,7,2,14,,,,1,3,13,31,10,36,,14,,,,19
유럽주,벨기에,여성,217,10,,,2,,,47,,15,,2,,,,1,3,,1,,,6,8,,,,3,1,30,20,5,12,,34,,,,17
유럽주,오스트리아,총계,337,23,,,1,28,,47,,14,,4,1,9,5,1,5,1,3,4,7,4,13,,,,,7,10,64,13,28,,5,,,,40
유럽주,오스트리아,남성,193,13,,,1,26,,17,,1,,2,1,9,5,,5,1,3,4,7,3,10,,,,,3,2,31,9,18,,2,,,,20
유럽주,오스트리아,여성,144,10,,,,2,,30,,13,,2,,,,1,,,,,,1,3,,,,,4,8,33,4,10,,3,,,,20
유럽주,덴마크,총계,306,6,,,6,23,,53,,15,1,,1,15,6,,1,,1,2,1,3,11,,,,2,4,31,46,5,33,,,,,,40
유럽주,덴마크,남성,186,3,,,4,21,,24,,7,1,,1,15,6,,1,,1,2,1,1,8,,,,2,1,11,22,5,24,,,,,,25
유럽주,덴마크,여성,120,3,,,2,2,,29,,8,,,,,,,,,,,,2,3,,,,,3,20,24,,9,,,,,,15
유럽주,그리스,총계,290,10,6,,45,13,,7,,8,,3,2,2,88,,5,,2,2,2,,11,,,,,1,33,7,4,22,1,,,,,16
유럽주,그리스,남성,228,8,6,,44,11,,1,,2,,2,2,2,82,,5,,,2,2,,10,,,,,1,15,5,4,13,1,,,,,10
유럽주,그리스,여성,62,2,,,1,2,,6,,6,,1,,,6,,,,2,,,,1,,,,,,18,2,,9,,,,,,6
유럽주,루마니아,총계,286,19,2,,24,4,,36,1,10,,,,4,29,4,5,,2,,,4,13,,,,6,3,17,1,17,53,,,,,,32
유럽주,루마니아,남성,129,15,2,,22,4,,5,1,1,,,,3,28,,4,,1,,,3,4,,,,2,,5,,7,10,,,,,,12
유럽주,루마니아,여성,157,4,,,2,,,31,,9,,,,1,1,4,1,,1,,,1,9,,,,4,3,12,1,10,43,,,,,,20
유럽주,노르웨이,총계,286,13,,,,8,,51,,27,,,1,21,14,2,1,,1,,,3,3,,,,4,7,22,48,5,25,,,,,,30
유럽주,노르웨이,남성,129,8,,,,8,,8,,6,,,1,20,13,1,1,,1,,,1,2,,,,2,4,9,13,3,19,,,,,,9
유럽주,노르웨이,여성,157,5,,,,,,43,,21,,,,1,1,1,,,,,,2,1,,,,2,3,13,35,2,6,,,,,,21
유럽주,핀란드,총계,269,14,,,3,14,,121,,10,,,3,7,3,1,1,,1,,2,3,7,,,,,2,13,4,10,38,,,,,,12
유럽주,핀란드,남성,123,9,,,1,12,,43,,2,,,3,7,3,,1,,1,,2,3,2,,,,,,4,,7,18,,,,,,5
유럽주,핀란드,여성,146,5,,,2,2,,78,,8,,,,,,1,,,,,,,5,,,,,2,9,4,3,20,,,,,,7
유럽주,벨로루시,총계,263,,,,12,11,,44,,14,,,,1,,4,1,1,8,,,17,6,,,,15,10,15,22,22,40,1,,,,,19
유럽주,벨로루시,남성,82,,,,5,1,,9,,1,,,,1,,1,,,8,,,2,3,,,,5,3,4,15,10,4,1,,,,,9
유럽주,벨로루시,여성,181,,,,7,10,,35,,13,,,,,,3,1,1,,,,15,3,,,,10,7,11,7,12,36,,,,,,10
유럽주,아제르바이잔,총계,210,,,,14,,,61,,15,,,,,1,4,1,,,,,,8,,,,9,25,8,6,7,7,9,,,,,35
유럽주,아제르바이잔,남성,131,,,,14,,,41,,7,,,,,1,2,1,,,,,,7,,,,5,12,2,5,4,3,7,,,,,20
유럽주,아제르바이잔,여성,79,,,,,,,20,,8,,,,,,2,,,,,,,1,,,,4,13,6,1,3,4,2,,,,,15
유럽주,헝가리,총계,204,8,,,5,11,1,38,,14,,2,,,,3,4,,2,,,6,11,,,,,5,16,1,5,39,,5,,,,28
유럽주,헝가리,남성,80,6,,,3,5,,7,,4,,1,,,,1,2,,2,,,1,8,,,,,1,7,,2,13,,3,,,,14
유럽주,헝가리,여성,124,2,,,2,6,1,31,,10,,1,,,,2,2,,,,,5,3,,,,,4,9,1,3,26,,2,,,,14
유럽주,체코,총계,193,15,,,2,21,,51,,12,,4,,2,2,1,1,,1,,10,1,5,,,,2,3,5,1,4,19,,10,,,,21
유럽주,체코,남성,104,9,,,2,20,,18,,3,,3,,2,2,1,,,1,,10,1,5,,,,,1,1,,3,8,,5,,,,9
유럽주,체코,여성,89,6,,,,1,,33,,9,,1,,,,,1,,,,,,,,,,2,2,4,1,1,11,,5,,,,12
유럽주,포르투갈,총계,183,15,,,2,7,,30,,15,,1,,7,8,2,4,,2,,1,10,10,,,,1,7,26,,,28,2,1,,1,,3
유럽주,포르투갈,남성,104,10,,,1,5,,11,,4,,1,,7,6,,2,,2,,1,9,9,,,,1,2,11,,,18,1,,,1,,2
유럽주,포르투갈,여성,79,5,,,1,2,,19,,11,,,,,2,2,2,,,,,1,1,,,,,5,15,,,10,1,1,,,,1
유럽주,불가리아,총계,147,8,,,2,5,,39,,11,,,,1,1,3,4,,,1,5,2,7,,,,2,11,9,,9,21,,,,,,6
유럽주,불가리아,남성,58,5,,,2,4,,7,,5,,,,1,1,,4,,,1,5,2,5,,,,1,3,2,,2,6,,,,,,2
유럽주,불가리아,여성,89,3,,,,1,,32,,6,,,,,,3,,,,,,,2,,,,1,8,7,,7,15,,,,,,4
유럽주,리투아니아,총계,105,1,,,1,12,,51,,3,,2,,1,1,1,,,1,,,2,3,,,,,5,1,1,1,14,,,,1,,3
유럽주,리투아니아,남성,43,1,,,1,3,,21,,2,,1,,1,1,,,,,,,,2,,,,,4,,1,,4,,,,,,1
유럽주,리투아니아,여성,62,,,,,9,,30,,1,,1,,,,1,,,1,,,2,1,,,,,1,1,,1,10,,,,1,,2
유럽주,크로아티아,총계,99,1,10,,15,2,,10,,1,,1,,,17,1,2,,,,2,2,5,,,,,5,6,,1,12,,,,,,6
유럽주,크로아티아,남성,65,,7,,14,1,,2,,,,1,,,16,1,1,,,,2,2,4,,,,,1,1,,1,8,,,,,,3
유럽주,크로아티아,여성,34,1,3,,1,1,,8,,1,,,,,1,,1,,,,,,1,,,,,4,5,,,4,,,,,,3
유럽주,슬로바크,총계,85,7,,,,11,,20,,4,,2,,1,2,2,2,,,,1,2,3,,,,1,5,3,,2,7,,,,,,10
유럽주,슬로바크,남성,39,3,,,,8,,5,,1,,,,1,2,1,2,,,,1,1,2,,,,1,1,,,1,3,,,,,,6
유럽주,슬로바크,여성,46,4,,,,3,,15,,3,,2,,,,1,,,,,,1,1,,,,,4,3,,1,4,,,,,,4
유럽주,조지아,총계,83,,,,16,,,15,,3,,,,1,1,1,,,,,,2,3,,,,2,6,4,,2,4,,,,,,23
유럽주,조지아,남성,32,,,,13,,,2,,1,,,,1,1,,,,,,,1,,,,,1,1,1,,1,,,,,,,9
유럽주,조지아,여성,51,,,,3,,,13,,2,,,,,,1,,,,,,1,3,,,,1,5,3,,1,4,,,,,,14
유럽주,세르비아,총계,76,,4,,3,1,,13,,6,,,,1,,3,2,,1,4,1,7,2,,,,1,1,12,,3,8,,,,,,3
유럽주,세르비아,남성,39,,3,,1,1,,3,,3,,,,1,,,1,,,4,1,7,,,,,,,4,,1,7,,,,,,2
유럽주,세르비아,여성,37,,1,,2,,,10,,3,,,,,,3,1,,1,,,,2,,,,1,1,8,,2,1,,,,,,1
유럽주,영국외지민,총계,73,1,4,,,,,4,,8,,,,,1,3,1,,1,,,,3,,,,1,7,1,1,4,30,,2,,,,1
유럽주,영국외지민,남성,17,1,1,,,,,,,1,,,,,,,1,,1,,,,3,,,,,2,1,,,6,,,,,,
유럽주,영국외지민,여성,56,,3,,,,,4,,7,,,,,1,3,,,,,,,,,,,1,5,,1,4,24,,2,,,,1
유럽주,아르메니아,총계,68,,,,2,,,13,,2,,,,,,,,,8,,,1,1,,,,3,4,13,,10,5,1,,,,,5
유럽주,아르메니아,남성,28,,,,1,,,1,,1,,,,,,,,,8,,,,1,,,,2,,1,,8,,1,,,,,4
유럽주,아르메니아,여성,40,,,,1,,,12,,1,,,,,,,,,,,,1,,,,,1,4,12,,2,5,,,,,,1
유럽주,라트비아,총계,63,1,,,9,2,,4,,4,,,,1,2,1,2,,2,,,,2,,,,,,7,,2,11,1,,,,,12
유럽주,라트비아,남성,25,1,,,8,2,,,,1,,,,,2,,,,1,,,,,,,,,,1,,,3,,,,,,6
유럽주,라트비아,여성,38,,,,1,,,4,,3,,,,1,,1,2,,1,,,,2,,,,,,6,,2,8,1,,,,,6
유럽주,슬로베니아,총계,55,,4,,1,5,,16,,4,,,,4,,,,,1,,1,2,1,,,,,,,,1,12,,,,,,3
유럽주,슬로베니아,남성,32,,4,,1,5,,5,,,,,,4,,,,,1,,1,2,1,,,,,,,,1,6,,,,,,1
유럽주,슬로베니아,여성,23,,,,,,,11,,4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2
유럽주,몰도바,총계,54,,1,,3,2,,16,,4,,,,,,2,,,,,,,,,1,,8,,2,,2,11,2,,,,,
유럽주,몰도바,남성,17,,1,,3,2,,,,1,,,,,,1,,,,,,,,,1,,3,,2,,2,1,,,,,,
유럽주,몰도바,여성,37,,,,,,,16,,3,,,,,,1,,,,,,,,,,,5,,,,,10,2,,,,,
유럽주,알바니아,총계,51,,23,,3,,,6,,1,,,,,,,,,,,,,2,,,,,1,3,,1,10,,,,,,1
유럽주,알바니아,남성,36,,20,,3,,,3,,,,,,,,,,,,,,,1,,,,,,2,,1,6,,,,,,
유럽주,알바니아,여성,15,,3,,,,,3,,1,,,,,,,,,,,,,1,,,,,1,1,,,4,,,,,,1
유럽주,에스토니아,총계,49,2,,,2,7,,18,,4,,,,,,2,,,,,,,2,,,,,2,1,,,4,,,,,,5
유럽주,에스토니아,남성,14,1,,,1,3,,2,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,4
유럽주,에스토니아,여성,35,1,,,1,4,,16,,4,,,,,,1,,,,,,,1,,,,,2,1,,,3,,,,,,1
유럽주,룩셈부르크,총계,23,2,,,1,,,6,,5,,,,,,,1,,,,,1,2,,,,,,3,1,,1,,,,,,
유럽주,룩셈부르크,남성,5,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,,,,
유럽주,룩셈부르크,여성,18,1,,,1,,,6,,5,,,,,,,,,,,,1,2,,,,,,2,,,,,,,,,
유럽주,몰타,총계,20,9,2,,,,,3,,,,2,,,,,,,,,,,2,,,,,,2,,,,,,,,,
유럽주,몰타,남성,14,8,2,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,
유럽주,몰타,여성,6,1,,,,,,2,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,
유럽주,마케도니아,총계,11,,,,,,,,,,,,,1,,1,,,1,,,,1,,,,,,1,,,4,,,,,,2
유럽주,마케도니아,남성,6,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,2,,,,,,1
유럽주,마케도니아,여성,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,1
유럽주,아이슬란드,총계,10,,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,1
유럽주,아이슬란드,남성,6,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,
유럽주,아이슬란드,여성,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
유럽주,몬테네그로,총계,9,,1,,1,,,2,,1,,,,,1,,,,,,,2,,,,,,,1,,,,,,,,,
유럽주,몬테네그로,남성,5,,1,,1,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
유럽주,몬테네그로,여성,4,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
유럽주,보스니아-헤르체고비나,총계,7,,,,,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
유럽주,보스니아-헤르체고비나,남성,3,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
유럽주,보스니아-헤르체고비나,여성,4,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
유럽주,코소보,총계,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
유럽주,코소보,남성,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
유럽주,코소보,여성,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
유럽주,교황청,총계,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
유럽주,교황청,남성,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
유럽주,유고슬라비아,총계,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
유럽주,유고슬라비아,여성,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
유럽주,안도라,총계,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,안도라,여성,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,스발바르,총계,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
유럽주,스발바르,남성,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
유럽주,세르비아몬테네그로,총계,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,세르비아몬테네그로,남성,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,산마리노,총계,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,산마리노,남성,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,리히텐슈타인,총계,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,리히텐슈타인,여성,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아주,총계,총계,"11,266",555,"1,514",,99,6,,48,,49,5,11,16,63,28,7,61,438,15,16,22,20,190,,1,,55,90,220,"6,536",281,589,2,8,,3,,318
오세아니아주,오스트레일리아,총계,"7,554",91,"1,465",,72,6,,28,,28,4,8,12,47,23,5,29,274,13,14,14,17,149,,,,39,58,172,"4,216",170,388,2,6,,3,,201
오세아니아주,오스트레일리아,남성,"3,601",43,711,,37,5,,16,,14,4,4,11,35,23,2,22,118,13,14,13,14,101,,,,24,42,56,"1,752",125,288,2,3,,1,,108
오세아니아주,오스트레일리아,여성,"3,953",48,754,,35,1,,12,,14,,4,1,12,,3,7,156,,,1,3,48,,,,15,16,116,"2,464",45,100,,3,,2,,93
오세아니아주,뉴질랜드,총계,"3,523",464,5,,16,,,8,,6,1,3,4,15,5,2,31,164,2,2,8,1,40,,,,12,27,46,"2,288",111,193,,2,,,,67
오세아니아주,뉴질랜드,남성,"1,960",221,2,,11,,,6,,4,1,2,3,13,5,,21,83,2,2,8,1,19,,,,5,17,23,"1,212",93,166,,1,,,,39
오세아니아주,뉴질랜드,여성,"1,563",243,3,,5,,,2,,2,,1,1,2,,2,10,81,,,,,21,,,,7,10,23,"1,076",18,27,,1,,,,28
오세아니아주,피지,총계,83,,6,,5,,,8,,8,,,,,,,1,,,,,2,1,,,,2,1,,25,,5,,,,,,19
오세아니아주,피지,남성,49,,4,,4,,,4,,4,,,,,,,,,,,,2,1,,,,1,,,15,,2,,,,,,12
오세아니아주,피지,여성,34,,2,,1,,,4,,4,,,,,,,1,,,,,,,,,,1,1,,10,,3,,,,,,7
오세아니아주,키리바시,총계,23,,15,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
오세아니아주,키리바시,남성,23,,15,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
오세아니아주,미이크로네시아,총계,15,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
오세아니아주,미이크로네시아,남성,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
오세아니아주,미이크로네시아,여성,11,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
오세아니아주,파푸아뉴기니,총계,13,,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
오세아니아주,파푸아뉴기니,남성,8,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
오세아니아주,파푸아뉴기니,여성,5,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2
오세아니아주,마샬군도,총계,13,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
오세아니아주,마샬군도,남성,9,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
오세아니아주,마샬군도,여성,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
오세아니아주,바누아투,총계,10,,,,,,,1,,,,,,,,,,,,,,,,,,,1,4,,3,,,,,,,,1
오세아니아주,바누아투,남성,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,1
오세아니아주,바누아투,여성,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
오세아니아주,팔라우,총계,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,6
오세아니아주,팔라우,남성,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
